ID,Start x,Start y,Start z,End x,End y,End z
0,4.573242,4.573246,6.823752,10.667999,4.574478,6.074254
1,99.971924,69.4944,6.255437,87.782402,69.4944,6.095602
2,99.971924,63.398399,4.477406,99.97316,75.589157,3.558843
3,99.971924,63.398399,4.477406,99.971924,51.206406,6.500338
4,99.971924,63.398399,4.477406,93.878403,75.587921,6.630216
5,99.971924,63.398399,4.477406,93.878403,51.206406,6.077591
6,99.971924,63.398399,4.477406,93.878403,69.4944,5.971172
7,99.971924,57.302399,6.327324,93.878403,45.110405,5.0558
8,99.971924,45.110405,6.861607,99.971924,45.110405,6.861607
9,99.971924,45.110405,6.861607,87.782402,51.206406,5.651536
10,99.971924,39.014404,6.091189,93.878403,51.206406,6.077591 